Team, Opponent, Pace, PPG, OffRtg, Pace, PPG-A, DefRtg, Pace, Pts, AvgRtg
DET, ORL, 	97.46	, 	0.00	, 	103.00	, 	98.10	, 	103.22	, 	104.20	, 	97.78	, 	51.61	, 	103.60	, 
ORL, DET, 	98.10	, 	0.00	, 	102.50	, 	97.46	, 	101.25	, 	103.40	, 	97.78	, 	50.63	, 	102.95	, 
CLE, IND, 	95.50	, 	0.00	, 	108.00	, 	99.09	, 	100.57	, 	100.00	, 	97.30	, 	50.28	, 	104.00	, 
IND, CLE, 	99.09	, 	0.00	, 	101.70	, 	95.50	, 	97.97	, 	101.80	, 	97.30	, 	48.99	, 	101.75	, 
BKN, WSH, 	97.16	, 	0.00	, 	100.90	, 	100.51	, 	104.46	, 	103.70	, 	98.84	, 	52.23	, 	102.30	, 
WSH, BKN, 	100.51	, 	0.00	, 	102.50	, 	97.16	, 	105.26	, 	107.80	, 	98.84	, 	52.63	, 	105.15	, 
NOP, BOS, 	98.87	, 	0.00	, 	103.00	, 	101.14	, 	102.60	, 	100.70	, 	100.01	, 	51.30	, 	101.85	, 
BOS, NOP, 	101.14	, 	0.00	, 	103.80	, 	98.87	, 	105.97	, 	106.50	, 	100.01	, 	52.99	, 	105.15	, 
CHA, NYK, 	97.75	, 	0.00	, 	104.50	, 	95.89	, 	101.13	, 	104.60	, 	96.82	, 	50.57	, 	104.55	, 
NYK, CHA, 	95.89	, 	0.00	, 	102.10	, 	97.75	, 	100.57	, 	101.70	, 	96.82	, 	50.28	, 	101.90	, 
HOU, DAL, 	99.98	, 	0.00	, 	105.00	, 	96.69	, 	103.55	, 	104.50	, 	98.34	, 	51.78	, 	104.75	, 
DAL, HOU, 	96.69	, 	0.00	, 	104.90	, 	99.98	, 	106.61	, 	106.00	, 	98.34	, 	53.30	, 	105.45	, 
OKC, POR, 	99.40	, 	0.00	, 	110.10	, 	98.27	, 	103.75	, 	105.50	, 	98.84	, 	51.88	, 	107.80	, 
POR, OKC, 	98.27	, 	0.00	, 	106.00	, 	99.40	, 	102.75	, 	102.90	, 	98.84	, 	51.37	, 	104.45	, 
LAC, LAL, 	98.11	, 	0.00	, 	106.60	, 	97.97	, 	107.19	, 	109.30	, 	98.04	, 	53.60	, 	107.95	, 
LAL, LAC, 	97.97	, 	0.00	, 	98.80	, 	98.11	, 	100.79	, 	101.40	, 	98.04	, 	50.39	, 	100.10	, 
